Size,Type,Time
800000,Sequential,0.269645
800000,Parallel,0.229279
800000,Built-in,0.329682
800000,Sequential,0.274124
800000,Parallel,0.265396
800000,Built-in,0.319139
800000,Sequential,0.2863
800000,Parallel,0.236709
800000,Built-in,0.316989
800000,Sequential,0.266629
800000,Parallel,0.216999
800000,Built-in,0.307726
800000,Sequential,0.274689
800000,Parallel,0.235821
800000,Built-in,0.312999
800000,Sequential,0.312548
800000,Parallel,0.275471
800000,Built-in,0.325131
800000,Sequential,0.273712
800000,Parallel,0.286991
800000,Built-in,0.331435
800000,Sequential,0.266222
800000,Parallel,0.270091
800000,Built-in,0.325808
800000,Sequential,0.263767
800000,Parallel,0.243799
800000,Built-in,0.313645
800000,Sequential,0.28348
800000,Parallel,0.262565
800000,Built-in,0.310354
800000,Sequential,0.266833
800000,Parallel,0.240079
800000,Built-in,0.31099
800000,Sequential,0.276302
800000,Parallel,0.236667
800000,Built-in,0.31281
800000,Sequential,0.272121
800000,Parallel,0.230779
800000,Built-in,0.310863
800000,Sequential,0.270335
800000,Parallel,0.208744
800000,Built-in,0.336423
800000,Sequential,0.268436
800000,Parallel,0.25088
800000,Built-in,0.31127
800000,Sequential,0.28811
800000,Parallel,0.288425
800000,Built-in,0.341374
800000,Sequential,0.284836
800000,Parallel,0.262127
800000,Built-in,0.324449
800000,Sequential,0.274639
800000,Parallel,0.235297
800000,Built-in,0.316474
800000,Sequential,0.271572
800000,Parallel,0.228868
800000,Built-in,0.314189
